"Deformácia"	"Napatie"
4.021835E-005	0.6994097
4.354667E-005	1.923377
7.356834E-005	3.555333
8.023452E-005	5.187289
5.021286E-005	6.178119
5.689811E-005	7.227234
6.689262E-005	7.86836
5.356025E-005	8.451201
8.357238E-005	11.13227
9.358596E-005	11.42369
0.0001002521	11.42369
9.691428E-005	11.42369
0.0001002521	12.23967
0.0001169319	16.20299
0.00013694	17.6601
0.00013694	18.65093
0.0001469345	19.87489
0.0001736278	21.85655
0.0001469345	22.38111
0.00013694	23.31366
0.0001602859	24.2462
0.0001702995	26.34443
0.0001936455	26.75242
0.0001769562	27.39355
0.0002069778	28.79237
0.0002236481	30.48261
0.0001869697	30.36604
0.0001903076	30.65746
0.0001869697	31.70658
0.0001869697	32.23113
0.0002236481	33.39682
0.0002003021	33.51338
0.00023699	34.38765
0.0002169819	35.6699
0.0002770157	37.18528
0.0002103157	36.54416
0.0002169819	36.31102
0.0002069778	37.01043
0.0002203197	37.41842
0.0001736278	37.30185
0.0002636833	38.75896
0.00023699	39.57494
0.0002569981	40.4492
0.0002636833	41.84801
0.0003003712	42.83885
0.0002569981	42.60571
0.0002436752	42.95541
0.0002703495	43.65482
0.0002703495	46.10276
0.0002670116	47.85128
0.0003270454	49.42495
0.0002870197	50.41579
0.0003237171	50.53235
0.0003303833	50.94034
0.0003070373	50.70721
0.000280344	51.23176
0.0003137035	52.45573
0.0002903576	53.62141
0.0002903576	54.49567
0.0003470631	56.71047
0.0003503914	58.22586
0.0003637333	59.50811
0.0003670711	60.79036
0.0004070969	62.07261
0.0003503914	61.48977
0.0003537292	61.31492
0.0003470631	61.3732
0.0003570671	62.01433
0.0003203792	62.42232
0.0003904076	64.11256
0.0003870792	65.10339
0.0003937454	65.74451
0.0004070969	66.09422
0.0004237671	66.44392
0.0003904076	65.97765
0.000370409	65.74451
0.0003837509	66.32735
0.0003770847	66.38564
0.0003470631	66.56049
0.0004070969	68.07588
0.0004070969	69.00843
0.0004204292	69.53298
0.0004137535	69.94097
0.0004637928	70.64038
0.0003937454	70.69867
0.0004237671	71.86435
0.000403759	73.08832
0.0004337807	73.84601
0.0003904076	74.37057
0.0004671211	75.76939
0.0004371185	76.64365
0.0004737968	77.45963
0.0004537983	78.56702
0.0005238171	80.43212
0.0004537983	81.18981
0.0004771347	82.3555
0.0004671211	83.17147
0.0004737968	83.52118
0.0004571266	83.87089
0.0004971428	85.50284
0.0005104942	86.26054
0.0005071468	86.37711
0.0005305023	87.01823
0.0005371685	87.77592
0.0005171604	87.54279
0.0004838009	87.71764
0.0005071468	88.5919
0.0005104942	89.23302
0.000470459	89.46616
0.0005505104	90.69013
0.0005238171	91.44782
0.0005471821	91.1564
0.0005338402	91.91409
0.0005938644	92.96321
0.0005171604	93.02149
0.0005538387	93.66262
0.0005271549	94.65345
0.0005638428	95.76085
0.0005071468	96.28541
0.0005872078	97.91737
0.0005738563	99.14133
