"Napatie"	"deformacia"
0	0
17.7	7E-005
37.5	0.00017
55.1	0.00025
75	0.00035
93.8	0.00042
113.6	0.00053
133	0.0006
152.3	0.00068
168.2	0.0008
188.6	0.00087
208.5	0.00095
224.4	0.00103
243.8	0.00112
266.5	0.00122
282.4	0.0013
303.4	0.0014
321.6	0.00145
340.3	0.00155
356.8	0.00163
377.8	0.00173
395.5	0.0018
414.8	0.0019
434.1	0.00198
454	0.00205
471	0.00205
489.2	0.00313
511.4	0.01265
526.7	0.01453
546.6	0.01668
565.9	0.01897
583.5	0.02145
601.1	0.02415
621.6	0.02712
639.8	0.0305
658.5	0.03435
676.1	0.03875
696.6	0.04437
714.8	0.05145
734.7	0.0611
739.8	0.102
