"Napatie"	"Deformacia"
4.695013	3.058775E-005
9.76778	7.140297E-005
13.38348	7.140297E-005
17.70073	0.0001122182
21.04661	0.0001122182
26.76697	0.0001632372
32.32543	0.0001632372
37.88389	0.000214262
42.09321	0.000214262
46.57236	0.0002550772
49.86426	0.0002550772
53.80376	0.0002958983
56.93377	0.0002856887
61.14309	0.0003367135
65.08258	0.0003367135
70.26328	0.0003775229
75.12019	0.0003877325
80.62469	0.0004387515
86.39902	0.0004387515
93.30663	0.0004999743
97.8937	0.0004999743
102.211	0.0005407896
105.287	0.0005407896
109.8201	0.0005816048
113.7056	0.0005816048
117.9689	0.0006224258
121.3148	0.000612222
125.2543	0.000663241
129.1398	0.0006530372
134.4824	0.0007040562
139.5552	0.00071426
145.6533	0.0007550752
150.5642	0.0007652849
155.583	0.0008061001
159.7383	0.0008162981
164.4333	0.0008571191
168.4268	0.0008571191
174.5249	0.0009081381
180.0294	0.0009183419
186.0196	0.0009693609
190.4448	0.0009693609
195.2477	0.001010176
199.1872	0.001010176
203.5045	0.001050991
206.6885	0.001040793
211.2216	0.001091812
215.5928	0.001091812
220.1259	0.001132628
224.0114	0.001132628
228.8144	0.001183652
235.8839	0.00119385
244.1406	0.001265283
250.1848	0.001265283
255.5274	0.001316302
259.6827	0.001316302
264.1079	0.001357117
266.6443	0.001357117
269.7203	0.001387728
272.2028	0.001387728
277.4374	0.001438753
283.5356	0.001448951
289.2559	0.001489772
294.0049	0.001499976
299.9411	0.001550995
304.5822	0.001561205
308.4137	0.001602014
309.9787	0.00159181
314.188	0.001632631
319.045	0.001632631
325.1971	0.001683645
331.619	0.001704058
338.4186	0.001755077
342.466	0.001755077
346.4595	0.001795898
349.7514	0.001795898
353.2592	0.001836713
356.0114	0.001826504
360.5446	0.001867325
366.2109	0.001887732
372.417	0.001928547
377.3818	0.001938751
382.6705	0.001979567
386.6639	0.001979567
392.1144	0.002030591
396.8095	0.002040789
401.6124	0.002071407
405.39	0.002081605
408.9518	0.002112222
413.215	0.002112222
419.2592	0.002163241
424.9795	0.002173445
430.6459	0.002224464
435.3409	0.002224464
439.6582	0.002275483
443.0041	0.002275483
447.1055	0.002316298
450.3434	0.002316298
454.8225	0.002357119
459.8413	0.002367323
466.5871	0.002418342
471.39	0.002418342
475.9771	0.002459157
479.4309	0.002459157
484.1799	0.002499978
488.605	0.002510182
493.354	0.002550991
498.157	0.002561201
504.0932	0.00261222
509.2739	0.002622424
514.4006	0.002663245
518.6099	0.002663245
522.7653	0.00270406
525.3557	0.00270406
530.9141	0.002744875
535.825	0.002755079
541.0057	0.002795894
545.1071	0.002795894
549.7481	0.002846913
553.2559	0.002846913
558.6525	0.002887728
563.4554	0.002897938
568.6361	0.002938753
572.8455	0.002948951
577.7563	0.002989772
582.0196	0.002999976
587.5781	0.003061205
592.9746	0.003081612
597.9934	0.003122427
602.6884	0.003132631
607.8691	0.003173446
612.2404	0.003173446
616.9354	0.003214262
620.4971	0.003214262
625.0842	0.003265281
629.1316	0.003265281
633.9885	0.003306096
638.4677	0.003316305
643.9182	0.003367324
648.6672	0.003367324
653.5781	0.00340814
657.5175	0.00340814
662.1586	0.003448955
665.8282	0.003448955
669.8217	0.00348977
673.4374	0.00348977
678.1864	0.003530591
684.4464	0.003550999
691.9476	0.003602018
698.0458	0.003622425
704.1978	0.003673444
708.8928	0.003673444
713.4799	0.003714265
716.2861	0.003714265
720.9811	0.003755081
724.6508	0.003765284
728.8062	0.00379589
731.6124	0.00379589
