"epsilon"	"sigma"
5.0744728E-006	-0.0054008203650478
-2.836666E-006	-0.025203828188694
-6.642024E-006	-0.017488370816083
9.887199E-007	-0.0028290011273885
2.2905529E-006	-0.012601914434713
2.877329E-007	0.00051436384753185
2.1303273E-006	0.0046292746277866
-6.301545E-006	0.0010287276950637
-2.736525E-006	0.023403554892516
6.081841E-007	0.032919286242038
-1.194354E-006	0.031890558546975
-4.759374E-006	0.038320106811306
-7.322983E-006	0.031890558546975
-1.2109723E-005	0.03240492205414
-1.080789E-005	0.075097121058917
-4.839486E-006	0.059151842125796
-2.536243E-006	0.052979475955414
-8.724957E-006	0.071753757921975
-6.135361E-007	0.06018056982086
4.8341344E-006	0.072268119386943
-1.154297E-006	0.073811210589172
-3.277287E-006	0.089756490883758
-9.58617E-006	0.11110259378981
-3.277287E-006	0.1265335058121
-3.157118E-006	0.11110259378981
1.2691147E-006	0.12319014267516
9.887199E-007	0.11290286572452
-3.331413E-007	0.15276606305732
-7.282927E-006	0.17102597675159
-9.540155E-007	0.1512229718551
-6.80225E-006	0.17359779769108
-6.421714E-006	0.18748561851115
-8.538745E-007	0.20471680927548
-3.277287E-006	0.19674417253185
-8.424534E-006	0.22143363857484
-1.314523E-006	0.20831735995223
-2.335961E-006	0.24252255394108
1.0688327E-006	0.24097946273885
-1.715087E-006	0.26669765171178
7.4778568E-006	0.2708125638535
-4.378838E-006	0.2530670116242
-3.517625E-006	0.29395893869427
-5.560502E-006	0.30398903491242
-1.975454E-006	0.32224894860669
-6.101263E-006	0.36056905473726
2.6510605E-006	0.35799723379777
3.277893E-007	0.37111351242038
-4.218612E-006	0.39271679605892
-4.719317E-006	0.40891925708599
2.1303273E-006	0.41586317089968
1.8299043E-006	0.43360872312898
9.887199E-007	0.46421337324841
5.2747548E-006	0.47141446098726
5.7354034E-006	0.51410666679936
-3.731977E-007	0.5328809419586
-1.975454E-006	0.52130775453822
-8.538745E-007	0.55139804319267
-2.930849E-007	0.54985495199045
2.9514835E-006	0.59177560199045
-1.634974E-006	0.62366616257962
-6.421714E-006	0.63575371146497
2.4107221E-006	0.66275781771497
1.7097351E-006	0.71470859116242
1.3892839E-006	0.69670580374204
-5.480389E-006	0.73091104538217
-1.975454E-006	0.78929134394904
2.9915399E-006	0.80035011544586
1.1890019E-006	0.82915449363057
-4.132541E-007	0.85384398009554
-1.154297E-006	0.89422155931529
3.5523295E-006	0.94617227149682
-3.117061E-006	0.96623250477707
8.485225E-007	1.0102106142516
-5.860925E-006	1.0413296190287
-5.900981E-006	1.1099971468949
-5.2746499999999E-008	1.1658056381369
1.6696787E-006	1.1861230521497
7.6180542E-006	1.2409027523885
4.693937E-006	1.2943966170382
-5.280107E-006	1.322172272293
4.3334294E-006	1.4127002985669
1.7898479E-006	1.4965416257962
1.275073E-007	1.5382051086783
2.0902709E-006	1.6230750907643
-3.117061E-006	1.7071735987261
-2.129721E-007	1.7727550258758
