"epsilon"	"Sigma"
-3.4768956E-005	0.040256114515326
-2.6397168E-005	0.0020003038515127
-3.4087997E-005	0.03250493725617
-2.9541595E-005	0.041256266441083
-3.2946389E-005	0.030004557772691
-3.1223964E-005	0.016752544590963
-2.5936519E-005	0.025503873775876
-3.4768956E-005	0.029004405846935
-3.0242582E-005	0.035505393033439
-2.3473051E-005	0.036755583106091
-2.9942159E-005	0.03300501354996
-3.1143851E-005	0.036755583106091
-2.8019452E-005	0.035505393033439
-2.6357111E-005	0.025503873775876
-3.0522977E-005	0.024003646218153
-3.4087997E-005	0.036755583106091
-2.8179678E-005	0.036255507474124
-2.7538775E-005	0.040756190809116
-3.0763315E-005	0.026504025701632
-3.0402808E-005	0.030004557772691
-3.2645966E-005	0.020753152293989
-2.8319875E-005	0.0550083559166
-3.7272481E-005	0.030004557772691
-3.2986446E-005	0.039255963251393
-2.5656124E-005	0.040756190809116
-2.8319875E-005	0.072511016271895
-2.8680383E-005	0.058508887325836
-3.1143851E-005	0.063259608807723
-2.1470231E-005	0.067260216510748
-2.6216914E-005	0.038255811325637
-3.404794E-005	0.050007596287818
-3.9735949E-005	0.054008203990844
-2.5656124E-005	0.054508279622811
-2.7859226E-005	0.066760142864252
-2.6637506E-005	0.07126082553742
-3.2886305E-005	0.067260216510748
-2.8520157E-005	0.076011545033838
-2.8680383E-005	0.087763328672373
-2.92612E-005	0.10201549377986
-2.703807E-005	0.10351572133758
-2.7498719E-005	0.085763027468153
-3.2645966E-005	0.10701625671775
-3.1344133E-005	0.090263710141322
-3.1464302E-005	0.12751936887938
-3.2726079E-005	0.11526751159435
-3.1424246E-005	0.14177153398686
-3.1744697E-005	0.10651617645303
-3.7272481E-005	0.15502354518312
-3.2846248E-005	0.15002278886346
-2.9301257E-005	0.15152301642118
-2.1650484E-005	0.14752240739451
-3.2085177E-005	0.14377184180932
-3.5770366E-005	0.15702385300557
-3.404794E-005	0.2010305390625
-2.9661764E-005	0.16427495397094
-2.7739057E-005	0.20003038515127
-2.9621708E-005	0.20253076662022
-2.8960777E-005	0.1960297761246
-2.3533135E-005	0.23078505339371
-3.382763E-005	0.23003494292396
-3.1143851E-005	0.241286652916
-2.9461482E-005	0.23328543486266
-3.1504359E-005	0.24903782752787
-2.703807E-005	0.27354154871616
-3.0563033E-005	0.24753759997014
-2.6837788E-005	0.27854231165406
-2.8359931E-005	0.27154124751194
-2.6016632E-005	0.2902940952926
-3.4869097E-005	0.30779675233877
-2.3152599E-005	0.32930001841162
-2.9741877E-005	0.33680116281847
-3.0242582E-005	0.34855294645701
-3.3226784E-005	0.35530396715764
-3.1624528E-005	0.38080784225717
-2.737855E-005	0.38230806981489
-3.0022272E-005	0.38530852493033
-3.0763315E-005	0.38580860519506
-2.4514517E-005	0.43381589366043
-3.0362751E-005	0.43756646586385
-3.1003654E-005	0.44156707489053
-3.1103795E-005	0.456819387291
-2.6357111E-005	0.43531612121815
-3.0803372E-005	0.47782257971736
-2.7859226E-005	0.48332341630175
-3.5509999E-005	0.52057907503981
-2.8319875E-005	0.52683002209395
-3.4648786E-005	0.54508279622811
-2.6297027E-005	0.55633450622014
-2.6437224E-005	0.56058515207006
-2.4334263E-005	0.60684217615446
-3.0482921E-005	0.58458879961186
-2.4013812E-005	0.61859396641123
-2.1310005E-005	0.63209601443073
-3.3667405E-005	0.63459639589968
-2.8880665E-005	0.67885308568869
-2.904089E-005	0.70910773984873
-2.6096745E-005	0.71510862360669
-2.7498719E-005	0.72335990495621
-3.3887715E-005	0.74586328523089
-3.3587292E-005	0.76161567127787
-2.6757675E-005	0.76311589221736
-2.4093925E-005	0.80362205613057
-2.5235532E-005	0.82662557623408
-2.625697E-005	0.80762264530255
-3.1103795E-005	0.85412975915605
-2.8800552E-005	0.86938207155653
-3.0683203E-005	0.89638618083201
-3.5029322E-005	0.93939271297771
-2.5355701E-005	0.97614825835987
-2.5495899E-005	0.96939726413217
-3.1464302E-005	1.0071529568073
-2.8720439E-005	1.0349071765525
-2.6677563E-005	1.0511597024283
-2.1850766E-005	1.070662640824
-2.0649074E-005	1.1129190625
-2.8139621E-005	1.1569257419387
-2.1149779E-005	1.1609263311107
-3.0963597E-005	1.1844299248607
-2.781917E-005	1.2284366042994
-2.5936519E-005	1.2834449701433
-2.1930879E-005	1.2569409345143
-2.8560213E-005	1.2886957434315
-2.1069667E-005	1.3222008101115
-2.7618888E-005	1.3584563480295
-3.2445684E-005	1.3912113042396
-2.1770654E-005	1.4182154135151
-2.7859226E-005	1.4647224611863
-2.6477281E-005	1.5127297959793
-2.7699001E-005	1.5289822556728
-2.1850766E-005	1.5729889351115
-2.8440044E-005	1.5699884932325
-2.982199E-005	1.6402491714769
-2.5616068E-005	1.6802551955613
-2.6877845E-005	1.6895066242038
-2.9421426E-005	1.775269651672
-2.7338493E-005	1.7940224795979
-2.5576012E-005	1.8072744974124
-2.5696181E-005	1.8625329000796
-2.6176858E-005	1.9415449333201
-2.8720439E-005	1.9943029015725
-2.6717619E-005	2.0105554274482
-1.9968116E-005	2.0508114883559
-2.5936519E-005	2.1035695227906
-2.3352881E-005	2.186582145203
-2.860027E-005	2.2105858125995
-2.3312825E-005	2.2560927129777
-2.3533135E-005	2.3301039435709
-2.8319875E-005	2.402114879578
-2.15904E-005	2.4296190625
-2.1069667E-005	2.4961291883957
-2.2631866E-005	2.59314387291
-2.2411556E-005	2.637400589172
-2.2491669E-005	2.6956594337182
-1.6563322E-005	2.7711709514331
-2.1310005E-005	2.8376810111465
-2.1189836E-005	2.9346957618432
-1.9227072E-005	3.0047064032643
-2.425415E-005	3.0444624567078
-2.0609018E-005	3.1497284225717
-2.3312825E-005	3.2379918182723
-2.2291387E-005	3.3042519073447
-1.6082645E-005	3.3917651925756
-1.9347241E-005	3.4805286619228
-2.1690541E-005	3.5985466381369
-2.23715E-005	3.7000620516521
-1.3218612E-005	3.8053280175159
-1.1335961E-005	3.9308470984275
-1.9928059E-005	4.0476148243432
-9.9339873E-006	4.1573815192078
-2.0128341E-005	4.2836507105892
-1.6983914E-005	4.413420417496
-1.7965296E-005	4.5296880697651
-1.4199994E-005	4.6482060534435
-1.0594918E-005	4.7922279254578
-1.436022E-005	4.9162467854299
-1.8686311E-005	5.0725205279658
-9.1929439E-006	5.2137919949244
-5.7280653E-006	5.3748164371019
-2.0709159E-005	5.5693459459594
-1.3739345E-005	5.7306204911425
-9.8138181E-006	5.8913948964968
-8.9125491E-006	6.0794234479498
-3.2245402E-006	6.2627012997611
-6.2087421E-006	6.4509798880374
-8.8724927E-006	6.6287567973726
-4.3661476E-006	6.8227861664013
-5.6479525E-006	7.0163158588774
8.6121261E-007	7.2335990495621
-1.502115E-006	7.4266284036624
-1.3418894E-006	7.6474113156847
9.8138181E-007	7.8479417744825
-3.8454144E-006	8.078726821258
-4.0456964E-006	8.2962601811306
1.1616356E-006	8.5357965167197
