"WK 11523";;"MCK 11523";;"CDK 11523";
"2Nf";"Sa";"2Nf";"Eap";"Eap";"Sa"
48110;282,765;48110;0,000705982;0,000705982;282,765
19576;303,522;19576;0,001049105;0,001049105;303,522
59038;264,58;59038;0,00025676;0,00025676;264,58
22702;281,4;22702;0,000722568;0,000722568;281,4
11954;323,0938;11954;0,001612601;0,001612601;323,0938
7000;325,061;7000;0,002183824;0,002183824;325,061
55100;250,3529;55100;0,0005674;0,0005674;250,3529
5734;358;5734;0,001687764;0,001687764;358
13358;322;13358;0,000953011;0,000953011;322
24444;307;24444;0,000784281;0,000784281;307
73344;277;73344;0,00060182;0,00060182;277
7460;350;;;;
60854;300;;;;
104994;283,367;;;;
236768;270;;;;
477522;260,59;;;;
1037494;231,097;;;;
