"Napatie"	"Deformacia"
-1.771792	1.170195E-005
-0.610961	5.750216E-005
0.1221921	8.499778E-005
1.527408	0.0001521007
1.710691	0.0001826004
4.215645	0.0003138021
6.598399	0.0004175976
10.75294	0.0006159976
15.57954	0.0008357004
21.26149	0.001092
26.69906	0.001339199
32.44211	0.001604702
37.5742	0.0018519
42.95066	0.002105202
47.71618	0.002334101
52.84826	0.002584298
57.1861	0.002804102
61.8905	0.003045203
65.67847	0.003246601
69.89411	0.003469397
73.4377	0.003655501
77.34785	0.0038691
80.46376	0.004043098
83.82406	0.004223098
86.3901	0.0043727
89.50601	0.0045375
91.70547	0.004659499
94.33261	0.004809101
96.2877	0.004912801
98.54824	0.005047102
100.4422	0.005150898
102.6417	0.005276002
104.4135	0.0053737
106.674	0.005489601
108.2625	0.005590297
110.401	0.005709298
111.9895	0.005797799
114.1889	0.005916901
115.7774	0.006005402
117.9157	0.006124402
119.4431	0.006209798
121.5205	0.0063289
122.9257	0.006414301
125.0029	0.006530298
126.4081	0.006612701
128.4854	0.006725599
130.0128	0.0068141
132.1512	0.0069331
133.6786	0.007021601
135.6337	0.007140602
137.1611	0.007226099
139.1772	0.007342
141.3156	0.0074641
143.8206	0.007601399
145.7146	0.007729597
148.2195	0.007866901
150.0524	0.007979901
152.4962	0.008120198
154.3903	0.0082393
156.8952	0.008385701
158.667	0.0084987
161.1108	0.008642102
162.8215	0.008748902
165.3265	0.008889301
167.1594	0.008993001
169.4199	0.009130402
171.2528	0.009237201
173.5134	0.009371501
175.2852	0.009472198
177.5457	0.0096003
179.3175	0.009700997
181.578	0.009829201
183.3499	0.009939101
185.6105	0.0100703
187.3822	0.0101741
189.6428	0.0102992
191.4756	0.0104152
193.7973	0.0105525
195.5691	0.0106746
198.0741	0.0108302
199.968	0.0109431
202.3508	0.0110926
204.3058	0.0111964
206.7497	0.0113337
208.5826	0.0114375
210.9043	0.0115809
212.7371	0.0116908
215.0588	0.0118251
216.8306	0.0119319
219.0912	0.012057
220.7408	0.0121638
223.0624	0.012295
224.712	0.0123957
226.9115	0.0125239
228.6222	0.0126307
230.9438	0.0127589
232.5323	0.0128627
234.854	0.0129847
236.5036	0.0130824
238.7642	0.0132136
240.4749	0.0133143
242.7354	0.0134425
244.5072	0.0135371
246.7677	0.0136714
248.6007	0.0137873
250.9223	0.0139247
252.633	0.0140254
254.9546	0.0141597
256.6653	0.0142695
258.926	0.0144008
260.6366	0.0144893
262.8972	0.0146205
264.6079	0.0147181
266.9295	0.0148188
268.7014	0.0149196
271.1452	0.0150569
272.7948	0.0151545
274.9942	0.0152766
276.7049	0.0153437
278.9655	0.0154841
280.4318	0.0155726
282.6313	0.01571
284.2809	0.0158076
286.297	0.015948
287.8244	0.0160426
289.9018	0.0161647
291.307	0.016244
293.262	0.0163691
294.6061	0.0164515
296.5612	0.0165644
297.8442	0.0166438
299.1273	0.0166652
300.227	0.0167567
301.9377	0.0168727
303.0374	0.0169307
304.687	0.0170222
305.6035	0.017071
307.0697	0.0171504
307.9251	0.0171809
309.147	0.0172511
309.8192	0.0172816
310.7967	0.0173304
311.041	0.0173335
311.713	0.017361
311.4076	0.0173304
311.713	0.0173121
311.1631	0.0172511
310.9189	0.0172114
309.9413	0.017129
309.2081	0.017071
307.4363	0.0169429
305.0536	0.0167933
300.3492	0.0165095
285.3195	0.0156398
252.3886	0.0138911
253.3662	0.0140162
265.4021	0.0146632
